token	lemma	pos	onset	offset	entity	bablefy_id (iob)	link	TP_MERGE	FP_MERGE	FN_MERGE	OCR_MERGE
CONFÉDÉRATION	confédération	NOUN	0	12	CONFÉDÉRATION	B-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=FR&langTrans=EN	1			
SUISSE	suisse	NOUN	14	19	SUISSE	I-bn:00069666n	https://babelnet.org/synset?word=bn:00069666n&lang=FR&langTrans=EN	1			
.	.	PUNCT	20	20							
DIÈTE	diète	NOUN	22	26	DIÈTE	B-bn:03105516n	https://babelnet.org/synset?word=bn:03105516n&lang=FR&langTrans=EN	1			
FÉDÉRALE	fédéral	PUNCT	28	35	FÉDÉRALE	I-bn:03105516n	https://babelnet.org/synset?word=bn:03105516n&lang=FR&langTrans=EN	1			
..	..	PUNCT	37	38							
Séance	Séance	PROPN	40	45	Séance	B-bn:00070034n	https://babelnet.org/synset?word=bn:00070034n&lang=FR&langTrans=EN		1	1	
du	du	DET	47	48							
6	6	NUM	50	50							
juillet	juillet	NOUN	52	58	juillet	B-bn:00048548n	https://babelnet.org/synset?word=bn:00048548n&lang=FR&langTrans=EN	1			
.	.	PUNCT	59	59							
Kt	kt	ADV	61	62						1	1
,	,	PUNCT	63	63							
(	(	PUNCT	65	65							
i	i	NOUN	66	66							
,	,	PUNCT	67	67							
t	t	NOUN	69	69							
de	de	ADP	71	72							
situation	situation	NOUN	74	82	situation	B-bn:00071869n	https://babelnet.org/synset?word=bn:00071869n&lang=FR&langTrans=EN	1			
du	du	DET	84	85							
personnel	personnel	NOUN	87	95	personnel	B-bn:00073801n	https://babelnet.org/synset?word=bn:00073801n&lang=FR&langTrans=EN	1			
et	et	CCONJ	97	98							
du	du	DET	100	101							
matériel	matériel	NOUN	103	110	matériel	B-bn:00031321n	https://babelnet.org/synset?word=bn:00031321n&lang=FR&langTrans=EN	1			
de	de	ADP	112	113							
l'	le	DET	115	116							
armée	armée	NOUN	117	121	armée	B-bn:00005803n	https://babelnet.org/synset?word=bn:00005803n&lang=FR&langTrans=EN	1			
Le	le	DET	123	124							
conseil	conseil	NOUN	126	132	conseil	B-bn:00023134n	https://babelnet.org/synset?word=bn:00023134n&lang=FR&langTrans=EN	1	1	1	
fédéral	fédéral	ADJ	134	140	fédéral	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
de	de	ADP	142	143							
la	le	DET	145	146							
guerre	guerre	NOUN	148	153	guerre	B-bn:00080439n	https://babelnet.org/synset?word=bn:00080439n&lang=FR&langTrans=EN	1			
fait	faire	VERB	155	158	fait	B-bn:00087107v	https://babelnet.org/synset?word=bn:00087107v&lang=FR&langTrans=EN	1			
connaître	connaître	VERB	160	168	connaître	B-bn:00082272v	https://babelnet.org/synset?word=bn:00082272v&lang=FR&langTrans=EN		1	1	
,	,	PUNCT	169	169							
dans	dan	ADP	171	174							
un	un	DET	176	177							
rapport	rapport	NOUN	179	185	rapport	B-bn:00067181n	https://babelnet.org/synset?word=bn:00067181n&lang=FR&langTrans=EN	1			
en	en	ADP	187	188							
date	date	NOUN	190	193	date	B-bn:00025336n	https://babelnet.org/synset?word=bn:00025336n&lang=FR&langTrans=EN	1			
du	du	DET	195	196							
10	10	NUM	198	199							
mai	mai	NOUN	201	203						1	
,	,	PUNCT	204	204							
ce	ce	PRON	206	207							
qui	qui	PRON	209	211							
manque	manquer	VERB	213	218	manque	B-bn:00090161v	https://babelnet.org/synset?word=bn:00090161v&lang=FR&langTrans=EN	1			
soit	être	CCONJ	220	223						1	
		PUNCT	225	225							
dans	dan	ADP	226	229							
le	le	DET	231	232							
personnel	personnel	NOUN	234	242	personnel	B-bn:00073801n	https://babelnet.org/synset?word=bn:00073801n&lang=FR&langTrans=EN	1			
,	,	PUNCT	243	243							
soit	être	CCONJ	245	248						1	
dans	dan	ADP	250	253							
le	le	DET	255	256							
matériel	matériel	NOUN	258	265	matériel	B-bn:00031321n	https://babelnet.org/synset?word=bn:00031321n&lang=FR&langTrans=EN	1			
de	de	ADP	267	268							
l'	le	DET	270	271							
année	année	NOUN	272	276	année	B-bn:00006662n	https://babelnet.org/synset?word=bn:00006662n&lang=FR&langTrans=EN	1			
fédérale	fédéral	ADJ	278	285	fédérale	B-bn:00102871a	https://babelnet.org/synset?word=bn:00102871a&lang=FR&langTrans=EN	1			
.	.	PUNCT	286	286							
Chaque	chaque	DET	288	293							
Etat	etat	NOUN	295	298	Etat	B-bn:00074010n	https://babelnet.org/synset?word=bn:00074010n&lang=FR&langTrans=EN	1			
donne	donner	VERB	300	304	donne	B-bn:00088815v	https://babelnet.org/synset?word=bn:00088815v&lang=FR&langTrans=EN	1			
