token	lemma	pos	onset	offset	entity	babelfy_id (iob)	link	TP	FP	FN	OCR	
NOUVELLES	nouveau	ADJ	0	8	NOUVELLES	B-bn:00071261n	https://babelnet.org/synset?word=bn:00071261n&lang=FR&langTrans=DE	 	1	 	 	
ETRANGERES	etranger	ADJ	10	19	ETRANGERES			 	 	1	 	
{	{	CCONJ	21	21	{			 	 	 	 	
Correspondance	Correspondance	PROPN	22	35	Correspondance	B-bn:00022861n	https://babelnet.org/synset?word=bn:00022861n&lang=FR&langTrans=DE	1	 	 	 	
particulière	particulier	ADJ	37	48	particulière	B-bn:00108295a	https://babelnet.org/synset?word=bn:00108295a&lang=FR&langTrans=DE	 	1	 	 	
de	de	ADP	50	51	de			 	 	 	 	
la	le	DET	53	54	la			 	 	 	 	
GAZETTE	gazette	NOUN	56	62	GAZETTE	B-bn:00037558n	https://babelnet.org/synset?word=bn:00037558n&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	63	63	.			 	 	 	 	
)	)	PUNCT	64	64	)			 	 	 	 	
Paris	Paris	PROPN	66	70	Paris	B-bn:00015540n	https://babelnet.org/synset?word=bn:00015540n&lang=FR&langTrans=DE	1	 	 	 	
,	,	PUNCT	71	71	,			 	 	 	 	
le	le	DET	73	74	le			 	 	 	 	
U	u	NOUN	76	76	U			 	 	 	 	
octobre	octobre	NOUN	78	84	octobre	B-bn:14827692n	https://babelnet.org/synset?word=bn:14827692n&lang=FR&langTrans=DE	1	 	 	 	
1868	1868	NUM	86	89	1868	I-bn:14827692n	https://babelnet.org/synset?word=bn:14827692n&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	90	90	.			 	 	 	 	
Aujourd'hui	aujourd'huie	NOUN	92	102	Aujourd'hui			 	 	 	 	
,	,	PUNCT	103	103	,			 	 	 	 	
il	il	PRON	105	106	il			 	 	 	 	
y	yu	PRON	108	108	y			 	 	 	 	
a	avoir	VERB	110	110	a			 	 	 	 	
en	en	ADP	112	113	en			 	 	 	 	
circulation	circulation	NOUN	115	125	circulation	B-bn:00019197n	https://babelnet.org/synset?word=bn:00019197n&lang=FR&langTrans=DE	1	 	 	 	
toutes	tout	DET	127	132	toutes			 	 	 	 	
sortes	sorte	NOUN	134	139	sortes	B-bn:01038368n	https://babelnet.org/synset?word=bn:01038368n&lang=FR&langTrans=DE	 	1	1	 	
de	de	ADP	141	142	de			 	 	 	 	
bruits	bruit	NOUN	144	149	bruits	B-bn:00057863n	https://babelnet.org/synset?word=bn:00057863n&lang=FR&langTrans=DE	 	1	 	 	
.	.	PUNCT	150	150	.			 	 	 	 	
Il	il	PRON	152	153	Il			 	 	 	 	
semble	sembler	VERB	155	160	semble	B-bn:00082690v	https://babelnet.org/synset?word=bn:00082690v&lang=FR&langTrans=DE	 	1	1	 	
que	que	SCONJ	162	164	que			 	 	 	 	
l'	le	DET	166	167	l'			 	 	 	 	
imagination	imagination	NOUN	168	178	imagination	B-bn:00045979n	https://babelnet.org/synset?word=bn:00045979n&lang=FR&langTrans=DE	1	 	 	 	
des	un	DET	180	182	des			 	 	 	 	
nouvellistes	nouvelliste	NOUN	184	195	nouvellistes			 	 	1	 	
veuille	vouloir	NOUN	197	203	veuille	B-bn:00086682v	https://babelnet.org/synset?word=bn:00086682v&lang=FR&langTrans=DE	1	 	 	 	
se	se	PRON	205	206	se			 	 	 	 	
dédommager	dédommager	VERB	208	217	dédommager			 	 	 	 	
du	du	DET	219	220	du			 	 	 	 	
silence	silence	NOUN	222	228	silence	B-bn:00065703n	https://babelnet.org/synset?word=bn:00065703n&lang=FR&langTrans=DE	1	 	 	 	
qui	qui	PRON	230	232	qui			 	 	 	 	
a	avoir	AUX	234	234	a			 	 	 	 	
été	être	AUX	236	238	été	B-bn:00083187v	https://babelnet.org/synset?word=bn:00083187v&lang=FR&langTrans=DE	1	 	 	 	
gardé	garder	VERB	240	244	gardé	B-bn:00089407v	https://babelnet.org/synset?word=bn:00089407v&lang=FR&langTrans=DE	1	 	 	 	
pendant	pendre	ADP	246	252	pendant			 	 	 	 	
ces	ce	DET	254	256	ces			 	 	 	 	
derniers	dernier	ADJ	258	265	derniers	B-bn:00105773a	https://babelnet.org/synset?word=bn:00105773a&lang=FR&langTrans=DE	 	1	1	 	
jours	jour	NOUN	267	271	jours	B-bn:00000086n	https://babelnet.org/synset?word=bn:00000086n&lang=FR&langTrans=DE	1	 	 	 	
.	.	PUNCT	272	272	.			 	 	 	 	
Et	Et	CCONJ	274	275	Et			 	 	 	 	
d'	de	ADP	277	278	d'			 	 	1	 	
abord	abord	ADV	279	283	abord	B-bn:00000676n	https://babelnet.org/synset?word=bn:00000676n&lang=FR&langTrans=DE	 	1	1	 	
on	on	PRON	285	286	on			 	 	 	 	
persiste	persister	VERB	288	295	persiste	B-bn:00086793v	https://babelnet.org/synset?word=bn:00086793v&lang=FR&langTrans=DE	1	 	 	 	
à	à	ADP	297	297	à			 	 	 	 	
affirmer	affirmer	VERB	299	306	affirmer	B-bn:00082848v	https://babelnet.org/synset?word=bn:00082848v&lang=FR&langTrans=DE	 	1	 	 	
le	le	DET	308	309	le			 	 	 	 	
changement	changement	NOUN	311	320	changement	B-bn:00003125n	https://babelnet.org/synset?word=bn:00003125n&lang=FR&langTrans=DE	1	 	 	 	
de	de	ADP	322	323	de			 	 	 	 	
ministère	ministère	NOUN	325	333	ministère	B-bn:00055178n	https://babelnet.org/synset?word=bn:00055178n&lang=FR&langTrans=DE	 	1	1	 	
