token	lemma	pos	onset	offset	entity	babelfy_id (iob)	link	TP	FP	FN	OCR
Der	der	DET	0	2							
Weltkrieg	Weltkrieg	NOUN	4	12	Weltkrieg	B-bn:00081630n	https://babelnet.org/synset?word=bn:00081630n&lang=DE&langTrans=EN	1			
.	.	PUNCT	13	13							
Deutsch-französischer	Deutsch-französischer	ADJ	15	35						1	
Kriegsschanplatz	Kriegsschanplatz	NOUN	37	52						1	1
Berlin	Berlin	PROPN	54	59	Berlin	B-bn:00010025n	https://babelnet.org/synset?word=bn:00010025n&lang=DE&langTrans=EN	1			
,	,	PUNCT	60	60							
9	9	ADJ	62	62							
.	.	ADJ	63	63							
Sept.	September	NOUN	65	69						1	
(	(	PUNCT	71	71							
Wolff	Wolff	PROPN	72	76							
.	.	PUNCT	77	77							
Amtlich	Amtlich	ADJ	79	85							
.	.	PUNCT	86	86							
)	)	PUNCT	87	87							
Großes	Großes	NOUN	89	94	Großes	B-bn:16896588n	https://babelnet.org/synset?word=bn:16896588n&lang=DE&langTrans=EN	1			
Hauptquartier	Hauptquartier	PROPN	96	108	Hauptquartier	I-bn:16896588n	https://babelnet.org/synset?word=bn:16896588n&lang=DE&langTrans=EN	1			
.	.	PUNCT	109	109							
Oertliche	Oertliche	ADJ	111	119						1	
Kämpfe	kämpfen	NOUN	121	126	Kämpfe	B-bn:00005731n	https://babelnet.org/synset?word=bn:00005731n&lang=DE&langTrans=EN	1			
nördlich	nördlich	ADJ	128	135						1	
vom	vom	ADP	137	139							
Ploegsteertwalde	Ploegsteertwalde	PROPN	141	156						1	
und	und	CONJ	158	160							
am	am	ADP	162	163							
La	La	PROPN	165	166							
Basséekanal	Basséekanal	PROPN	168	178						1	
.	.	PUNCT	179	179							
Nördlich	Nördlich	PROPN	181	188	Nördlich	B-bn:00029051n	https://babelnet.org/synset?word=bn:00029051n&lang=DE&langTrans=EN	1			
von	von	ADP	190	192							
Armentières	Armentières	PROPN	194	204	Armentières	B-bn:00185011n	https://babelnet.org/synset?word=bn:00185011n&lang=DE&langTrans=EN	1			
griff	griff	VERB	206	210	griff	B-bn:00088996v	https://babelnet.org/synset?word=bn:00088996v&lang=DE&langTrans=EN		1	1	
der	der	DET	212	214							
Feind	Feind	NOUN	216	220	Feind	B-bn:00030814n	https://babelnet.org/synset?word=bn:00030814n&lang=DE&langTrans=EN	1			
von	von	ADP	222	224							
neuem	neu	PROPN	226	230							
an	an	PART	232	233							
.	.	PUNCT	234	234							
Wir	ich	PRON	236	238							
wiesen	weisen	VERB	240	245							
ihn	ich	PRON	247	249							
ab	ab	PART	251	252							
und	und	CONJ	254	256							
machten	machen	VERB	258	264							
Gefangene	Gefangene	NOUN	266	274	Gefangene	B-bn:00015767n	https://babelnet.org/synset?word=bn:00015767n&lang=DE&langTrans=EN	1			
.	.	PUNCT	275	275							
Im	Im	ADP	277	278							
Kanalabschnitt	Kanalabschnitt	NOUN	280	293							
von	von	ADP	295	297							
Gleux-Haprincourt	Gleux-Haprincourt	NOUN	299	315						1	
Artillerietätigkeit	Artillerietätigkeit	NOUN	317	335						1	
und	und	CONJ	337	339							
Erkundungsgefechte	Erkundungsgefechte	NOUN	341	358						1	
.	.	PUNCT	359	359							
Südlich	Südlich	ADJ	361	367	Südlich	B-bn:00072994n	https://babelnet.org/synset?word=bn:00072994n&lang=DE&langTrans=EN		1	1	
der	der	DET	369	371							
Straße	Straße	NOUN	373	378	Straße	B-bn:00067975n	https://babelnet.org/synset?word=bn:00067975n&lang=DE&langTrans=EN	1			
PéronneCambrai	PéronneCambrai	PROPN	380	393							
setzte	setzen	VERB	395	400	setzte	B-bn:00093013v	https://babelnet.org/synset?word=bn:00093013v&lang=DE&langTrans=EN		1	1	
der	der	DET	402	404							
Feind	Feind	NOUN	406	410	Feind	B-bn:00030814n	https://babelnet.org/synset?word=bn:00030814n&lang=DE&langTrans=EN	1			
seine	mein	DET	412	416							
Angriffe	Angriff	NOUN	418	425	Angriffe	B-bn:00006994n	https://babelnet.org/synset?word=bn:00006994n&lang=DE&langTrans=EN	1			
unter	unter	ADP	427	431							
Einsatz	Einsatz	NOUN	433	439	Einsatz	B-bn:00026366n	https://babelnet.org/synset?word=bn:00026366n&lang=DE&langTrans=EN	1			
starker	stark	ADJ	441	447	starker	B-bn:00111312a	https://babelnet.org/synset?word=bn:00111312a&lang=DE&langTrans=EN	1			
Kräfte	Kraft	NOUN	449	454	Kräfte	B-bn:00035768n	https://babelnet.org/synset?word=bn:00035768n&lang=DE&langTrans=EN		1	1	
gegen	gegen	ADP	456	460							
die	der	DET	462	464							
Linie	Linie	NOUN	466	470	Linie	B-bn:00051290n	https://babelnet.org/synset?word=bn:00051290n&lang=DE&langTrans=EN	1			
