token	lemma	pos	onset	offset	entity	babelfy_id	link_to_synset	TP	FP	FN	OCR	FN and OCR
Die	der	DET	0	2								0
schweizerische	schweizerische	ADJ	4	17	schweizerische	B-bn:00111553a	https://babelnet.org/synset?word=bn:00111553a&lang=DE&langTrans=DE	1				0
bg	bg	X	0	1	bg	B-bn:00954715n	https://babelnet.org/synset?word=bn:00954715n&lang=DE&langTrans=DE		1	1		0
In	In	ADP	3	4								0
der	der	DET	6	8								0
Zürcher	Zürcher	ADJ	10	16						1		0
Volkswirtschaftlichen	Volkswirtschaftliche	ADJ	18	38						1		0
Gesellschaft	Gesellschaft	NOUN	40	51	Gesellschaft	B-bn:00072566n	https://babelnet.org/synset?word=bn:00072566n&lang=DE&langTrans=DE		1	1		0
sprach	sprechen	VERB	53	58	sprach	B-bn:00094090v	https://babelnet.org/synset?word=bn:00094090v&lang=DE&langTrans=DE	1				0
am	am	ADP	60	61								0
23	23	NUM	63	64								0
Novemder	Novemder	NOUN	66	73						1	1	1
Oberst	Oberst	NOUN	75	80	Oberst	B-bn:00020706n	https://babelnet.org/synset?word=bn:00020706n&lang=DE&langTrans=DE	1				0
E	E	NOUN	82	82						1		0
von	von	ADP	84	86						1		0
Goumoéns	Goumoéns	PROPN	88	95						1		0
Präsident	Präsident	NOUN	97	105	Präsident	B-bn:00064233n	https://babelnet.org/synset?word=bn:00064233n&lang=DE&langTrans=DE	1				0
des	der	DET	107	109								0
Verwaltungsrates	Verwaltungsrates	NOUN	0	15						1		0
der	der	DET	17	19								0
Société	Société	PROPN	21	27						1		0
de	de	PROPN	29	30						1		0
la	la	PROPN	32	33						1		0
Viscose	Viscose	PROPN	35	41	Viscose	B-bn:00017063n	https://babelnet.org/synset?word=bn:00017063n&lang=DE&langTrans=DE		1	1		0
Emmendrücke	Emmendrücke	NOUN	43	53						1	1	1
über	über	ADP	55	58								0
die	der	DET	60	62								0
schweizerische	schweizerische	ADJ	64	77	schweizerische	B-bn:00111553a	https://babelnet.org/synset?word=bn:00111553a&lang=DE&langTrans=DE	1				0
Kunstseidenindustrie	Kunstseidenindustrie	NOUN	79	98						1		0
Der	der	DET	100	102								0
Reserent	Reserent	NOUN	104	111						1	1	1
der	der	DET	113	115								0
1906	1906	NUM	117	120								0
von	von	X	122	124								0
dieser	dies	DET	0	5								0
Gesellschaft	Gesellschaft	NOUN	7	18	Gesellschaft	B-bn:00072566n	https://babelnet.org/synset?word=bn:00072566n&lang=DE&langTrans=DE		1	1		0
als	als	ADP	20	22								0
Direktor	Direktor	NOUN	24	31	Direktor	B-bn:00027366n	https://babelnet.org/synset?word=bn:00027366n&lang=DE&langTrans=DE	1				0
gewonnen	gewinnen	VERB	33	40	gewonnen	B-bn:00095777v	https://babelnet.org/synset?word=bn:00095777v&lang=DE&langTrans=DE		1	1		0
wurde	werden	AUX	42	46								0
—	--	PUNCT	48	48								0
wie	wie	ADV	0	2								0
Dr	Dr	PROPN	4	5		B-bn:00027995n	https://babelnet.org/synset?word=bn:00027995n&lang=DE&langTrans=DE	1				0
Dürsteler	Dürsteler	PROPN	7	15						1		0
in	in	ADP	17	18								0
seinen	seinen	DET	20	25								0
Begrüßungsworten	Begrüßungsworten	NOUN	27	42						1		0
bemerkte	bemerken	VERB	44	51	bemerkte	B-bn:00090740v	https://babelnet.org/synset?word=bn:00090740v&lang=DE&langTrans=DE	1				0
—	--	PUNCT	53	53								0
und	und	CONJ	55	57								0
ein	einen	DET	59	61								0
Pionier	Pionier	NOUN	63	69	Pionier	B-bn:00041927n	https://babelnet.org/synset?word=bn:00041927n&lang=DE&langTrans=DE	1				0
der	der	DET	71	73								0
schweizerischen	schweizerisch	ADJ	75	89	schweizerischen	B-bn:00111553a	https://babelnet.org/synset?word=bn:00111553a&lang=DE&langTrans=DE	1				0
Kunstscidenindustrie	Kunstscidenindustrie	NOUN	91	110						1	1	1
ist	sein	AUX	112	114								0
unternahm	unternehmen	ADJ	116	124						1		0
zunächst	zunächst	ADV	126	133	zunächst	B-bn:00115376r	https://babelnet.org/synset?word=bn:00115376r&lang=DE&langTrans=DE	1				0
„	„	PUNCT	0	0								0
einen	ein	DET	1	5								0
Terrainritt	Terrainritt	NOUN	7	17						1		0
durch	durch	ADP	19	23								0
das	der	DET	25	27								0
ganze	ganze	ADJ	29	33	ganze	B-bn:00113852a	https://babelnet.org/synset?word=bn:00113852a&lang=DE&langTrans=DE	1				0
Entwicklungsgebiet	Entwicklungsgebiet	NOUN	35	52	Entwicklungsgebiet	B-bn:13606655n	https://babelnet.org/synset?word=bn:13606655n&lang=DE&langTrans=DE	1				0
der	der	DET	54	56								0
Kunstseidenindustrie	Kunstseidenindustrie	NOUN	58	77						1		0
Hier	Hier	ADV	79	82						1		0
eine	einen	PRON	84	87								0
kurze	kurze	ADJ	0	4	kurze	B-bn:00098854a	https://babelnet.org/synset?word=bn:00098854a&lang=DE&langTrans=DE	1				0
Inhaltsangabe	Inhaltsangabe	NOUN	6	18	Inhaltsangabe	B-bn:16560544n	https://babelnet.org/synset?word=bn:16560544n&lang=DE&langTrans=DE		1	1		0
des	der	DET	20	22								0
Vortrages	Vortrag	NOUN	24	32	Vortrages	B-bn:00050486n	https://babelnet.org/synset?word=bn:00050486n&lang=DE&langTrans=DE	1				0
Wie	wie	ADV	0	2								0
andere	ander	ADJ	4	9								0
vertvolle	vertvolle	ADJ	11	19						1	1	1
Stoffe	Stoff	NOUN	21	26	Stoffe	B-bn:00053801n	https://babelnet.org/synset?word=bn:00053801n&lang=DE&langTrans=DE		1	1		0
hat	haben	AUX	28	30								0
man	man	PRON	32	34								0
schon	schon	ADV	36	40	schon	B-bn:00114245r	https://babelnet.org/synset?word=bn:00114245r&lang=DE&langTrans=DE	1				0
früh	früh	ADJ	42	45	früh	B-bn:00101935a	https://babelnet.org/synset?word=bn:00101935a&lang=DE&langTrans=DE	1				0
auch	auch	ADV	0	3						1		0
daran	daran	ADV	5	9								0
gedacht	gedenken	VERB	11	17	gedacht	B-bn:00085407v	https://babelnet.org/synset?word=bn:00085407v&lang=DE&langTrans=DE		1	1		0
Seide	Seide	NOUN	19	23	Seide	B-bn:00071599n	https://babelnet.org/synset?word=bn:00071599n&lang=DE&langTrans=DE	1				0
künstlich	künstlich	ADJ	25	33						1		0
herzusteller	herzusteller	ADJ	35	46						1	1	1
Schon	Schon	ADV	0	4						1		0
1665	1665	NUM	6	9								0
