
John| GTYPE>gaz_given_name | SURFACE>John
Philip| GTYPE>gaz_given_name | SURFACE>Philip
Edward| GTYPE>gaz_given_name | SURFACE>Edward

A | GTYPE>gaz_initial | SURFACE>A
B | GTYPE>gaz_initial | SURFACE>B
C | GTYPE>gaz_initial | SURFACE>C
D | GTYPE>gaz_initial | SURFACE>D
E | GTYPE>gaz_initial | SURFACE>E
F | GTYPE>gaz_initial | SURFACE>F
G | GTYPE>gaz_initial | SURFACE>G
H | GTYPE>gaz_initial | SURFACE>H
I | GTYPE>gaz_initial | SURFACE>I
J | GTYPE>gaz_initial | SURFACE>J
K | GTYPE>gaz_initial | SURFACE>K
L | GTYPE>gaz_initial | SURFACE>L
M | GTYPE>gaz_initial | SURFACE>M
N | GTYPE>gaz_initial | SURFACE>N
O | GTYPE>gaz_initial | SURFACE>O
Q | GTYPE>gaz_initial | SURFACE>Q
P | GTYPE>gaz_initial | SURFACE>P
R | GTYPE>gaz_initial | SURFACE>R
S | GTYPE>gaz_initial | SURFACE>S
T | GTYPE>gaz_initial | SURFACE>T
U | GTYPE>gaz_initial | SURFACE>U
W | GTYPE>gaz_initial | SURFACE>W
X | GTYPE>gaz_initial | SURFACE>X
Y | GTYPE>gaz_initial | SURFACE>Y
Z | GTYPE>gaz_initial | SURFACE>Z


de | GTYPE>gaz_name_infix | SURFACE>de
de la | GTYPE>gaz_name_infix | SURFACE>de la
De | GTYPE>gaz_name_infix | SURFACE>De
v. d. | GTYPE>gaz_name_infix | SURFACE>v. d.
v. | GTYPE>gaz_name_infix | SURFACE>v.
van de | GTYPE>gaz_name_infix | SURFACE>van de
van den | GTYPE>gaz_name_infix | SURFACE>van den
van der | GTYPE>gaz_name_infix | SURFACE>van der
van | GTYPE>gaz_name_infix | SURFACE>van
von d. | GTYPE>gaz_name_infix | SURFACE>von d.
von de | GTYPE>gaz_name_infix | SURFACE>von de
von den | GTYPE>gaz_name_infix | SURFACE>von den
von der | GTYPE>gaz_name_infix | SURFACE>von der
von | GTYPE>gaz_name_infix | SURFACE>von


journalist | GTYPE>gaz_title | GNUMBER>sg | SURFACE>journalist
journalists | GTYPE>gaz_title | GNUMBER>pl | SURFACE>journalists
businessman |  GTYPE>gaz_title | GNUMBER>sg  | SURFACE> businessman
businessmen |  GTYPE>gaz_title | GNUMBER>pl  | SURFACE> businessmen
Governor |  GTYPE>gaz_title | GNUMBER>sg  | SURFACE> Governor
robber |  GTYPE>gaz_title | GNUMBER>sg  | SURFACE> robber
robbers |  GTYPE>gaz_title | GNUMBER>pl  | SURFACE> robbers
offender |  GTYPE>gaz_title | GNUMBER>sg  | SURFACE> offender
offenders |  GTYPE>gaz_title | GNUMBER>sg  | SURFACE> offenders
Dipl.-Ing. | GTYPE>gaz_title | SURFACE>Dipl.-Ing.
Dipl.-ing. | GTYPE>gaz_title | SURFACE>Dipl.-ing.
Doktor | GTYPE>gaz_title | SURFACE>Doktor
Dr | GTYPE>gaz_title | SURFACE>Dr
Dr. hab. | GTYPE>gaz_title | SURFACE>Dr. hab.
Dr. jur. | GTYPE>gaz_title | SURFACE>Dr. jur.
Dr. med | GTYPE>gaz_title | SURFACE>Dr. med
Dr. med. | GTYPE>gaz_title | SURFACE>Dr. med.
Dr. phil. | GTYPE>gaz_title | SURFACE>Dr. phil.
Dr. rer. nat. | GTYPE>gaz_title | SURFACE>Dr. rer. nat.
Dr. rer. pol. | GTYPE>gaz_title | SURFACE>Dr. rer. pol.
Dr. theol. | GTYPE>gaz_title | SURFACE>Dr. theol.
Dr. | GTYPE>gaz_title | SURFACE>Dr.
Dr.-Ing. | GTYPE>gaz_title | SURFACE>Dr.-Ing.
Dr.-ing. | GTYPE>gaz_title | SURFACE>Dr.-ing.
M. Sc. | GTYPE>gaz_title | SURFACE>M. Sc.
M. sc. | GTYPE>gaz_title | SURFACE>M. sc.
